# V_PS_R,V_LED_R,I_R,V_PS_Y,V_LED_Y,I_Y,V_PS_G,V_LED_G,I_G,V_PS_B,V_LED_B,I_B,V_PS_W,V_LED_W,I_W
0.003,-0.003,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000
0.104,0.098,0.000,0.104,0.098,0.000,0.104,0.098,0.000,0.104,0.097,0.000,0.104,0.098,0.000
0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.197,0.000
0.306,0.300,0.000,0.306,0.300,0.000,0.306,0.300,0.000,0.306,0.300,0.000,0.306,0.300,0.000
0.406,0.400,0.000,0.406,0.399,0.000,0.406,0.400,0.000,0.406,0.399,0.000,0.406,0.400,0.000
0.508,0.502,0.000,0.508,0.502,0.000,0.508,0.502,0.000,0.508,0.502,0.000,0.508,0.502,0.000
0.608,0.602,0.000,0.608,0.602,0.000,0.608,0.602,0.000,0.608,0.602,0.000,0.609,0.603,0.000
0.710,0.703,0.000,0.710,0.704,0.000,0.710,0.704,0.000,0.710,0.704,0.000,0.710,0.703,0.000
0.810,0.804,0.000,0.810,0.804,0.000,0.810,0.804,0.000,0.810,0.804,0.000,0.810,0.804,0.000
0.911,0.905,0.000,0.911,0.906,0.000,0.911,0.905,0.000,0.911,0.905,0.000,0.911,0.905,0.000
1.012,1.006,0.000,1.012,1.006,0.000,1.012,1.006,0.000,1.012,1.006,0.000,1.012,1.006,0.000
1.113,1.107,0.000,1.113,1.107,0.000,1.113,1.108,0.000,1.113,1.107,0.000,1.113,1.107,0.000
1.214,1.207,0.000,1.214,1.207,0.000,1.214,1.208,0.000,1.214,1.207,0.000,1.214,1.207,0.000
1.315,1.310,0.000,1.315,1.309,0.000,1.315,1.310,0.000,1.315,1.309,0.000,1.315,1.309,0.000
1.415,1.409,0.000,1.415,1.410,0.000,1.415,1.409,0.000,1.415,1.410,0.000,1.415,1.409,0.000
1.517,1.511,0.000,1.517,1.512,0.000,1.517,1.512,0.000,1.517,1.512,0.000,1.517,1.512,0.000
1.617,1.608,0.000,1.618,1.612,0.000,1.617,1.612,0.000,1.617,1.612,0.000,1.617,1.612,0.000
1.719,1.690,0.000,1.719,1.708,0.000,1.719,1.714,0.000,1.719,1.713,0.000,1.719,1.713,0.000
1.819,1.739,0.000,1.819,1.788,0.000,1.819,1.814,0.000,1.819,1.814,0.000,1.819,1.814,0.000
1.921,1.768,0.000,1.921,1.843,0.000,1.921,1.916,0.000,1.921,1.916,0.000,1.921,1.916,0.000
2.021,1.788,0.001,2.021,1.878,0.000,2.021,2.015,0.000,2.021,2.016,0.000,2.021,2.016,0.000
2.121,1.803,0.001,2.121,1.904,0.001,2.121,2.108,0.000,2.122,2.117,0.000,2.121,2.116,0.000
2.223,1.815,0.001,2.223,1.924,0.001,2.223,2.177,0.000,2.223,2.218,0.000,2.223,2.218,0.000
2.323,1.826,0.001,2.323,1.941,0.001,2.323,2.219,0.000,2.324,2.319,0.000,2.323,2.318,0.000
2.425,1.835,0.001,2.425,1.955,0.001,2.425,2.250,0.000,2.425,2.416,0.000,2.425,2.418,0.000
2.525,1.843,0.002,2.526,1.968,0.001,2.525,2.276,0.001,2.525,2.489,0.000,2.525,2.506,0.000
2.627,1.851,0.002,2.627,1.979,0.002,2.627,2.299,0.001,2.627,2.526,0.000,2.627,2.558,0.000
2.727,1.858,0.002,2.727,1.989,0.002,2.727,2.320,0.001,2.727,2.549,0.000,2.727,2.586,0.000
2.829,1.865,0.002,2.829,1.998,0.002,2.829,2.339,0.001,2.829,2.566,0.001,2.829,2.605,0.001
2.929,1.871,0.002,2.929,2.007,0.002,2.929,2.358,0.001,2.929,2.579,0.001,2.929,2.619,0.001
3.031,1.877,0.003,3.031,2.015,0.002,3.031,2.375,0.002,3.031,2.591,0.001,3.031,2.631,0.001
3.131,1.882,0.003,3.131,2.023,0.003,3.131,2.392,0.002,3.131,2.602,0.001,3.131,2.641,0.001
3.233,1.888,0.003,3.233,2.031,0.003,3.233,2.408,0.002,3.233,2.611,0.001,3.233,2.651,0.001
3.333,1.893,0.003,3.333,2.038,0.003,3.333,2.424,0.002,3.333,2.620,0.002,3.333,2.659,0.002
3.435,1.898,0.004,3.435,2.044,0.003,3.435,2.439,0.002,3.435,2.628,0.002,3.435,2.667,0.002
3.535,1.903,0.004,3.535,2.050,0.003,3.535,2.454,0.003,3.535,2.636,0.002,3.535,2.674,0.002
3.637,1.907,0.004,3.637,2.056,0.004,3.637,2.469,0.003,3.637,2.644,0.002,3.637,2.682,0.002
3.737,1.912,0.004,3.737,2.062,0.004,3.737,2.482,0.003,3.737,2.651,0.003,3.737,2.688,0.002
3.839,1.916,0.004,3.839,2.067,0.004,3.839,2.497,0.003,3.839,2.657,0.003,3.839,2.695,0.003
3.939,1.920,0.005,3.939,2.073,0.004,3.939,2.510,0.003,3.939,2.664,0.003,3.939,2.702,0.003
4.041,1.925,0.005,4.041,2.078,0.005,4.041,2.523,0.004,4.041,2.671,0.003,4.041,2.708,0.003
4.141,1.928,0.005,4.141,2.083,0.005,4.141,2.536,0.004,4.141,2.677,0.003,4.141,2.714,0.003
4.242,1.932,0.005,4.242,2.088,0.005,4.242,2.548,0.004,4.242,2.684,0.004,4.242,2.719,0.004
4.343,1.935,0.006,4.343,2.092,0.005,4.343,2.560,0.004,4.343,2.689,0.004,4.343,2.724,0.004
4.444,1.940,0.006,4.444,2.097,0.005,4.444,2.573,0.004,4.444,2.696,0.004,4.444,2.730,0.004
4.545,1.943,0.006,4.545,2.100,0.006,4.545,2.585,0.005,4.545,2.702,0.004,4.545,2.736,0.004
4.646,1.947,0.006,4.646,2.104,0.006,4.646,2.596,0.005,4.646,2.707,0.005,4.646,2.741,0.004
4.746,1.950,0.007,4.746,2.108,0.006,4.746,2.607,0.005,4.746,2.712,0.005,4.746,2.745,0.005
4.848,1.954,0.007,4.848,2.112,0.006,4.848,2.618,0.005,4.848,2.718,0.005,4.848,2.750,0.005
4.949,1.959,0.007,4.949,2.116,0.007,4.948,2.630,0.005,4.948,2.723,0.005,4.948,2.755,0.005
5.051,1.961,0.007,5.050,2.119,0.007,5.050,2.640,0.006,5.050,2.729,0.005,5.050,2.760,0.005
5.151,1.965,0.007,5.150,2.122,0.007,5.150,2.650,0.006,5.150,2.741,0.006,5.151,2.765,0.006
5.253,1.968,0.008,5.252,2.125,0.007,5.252,2.661,0.006,5.253,2.747,0.006,5.252,2.769,0.006
5.353,1.970,0.008,5.352,2.128,0.007,5.353,2.672,0.006,5.352,2.751,0.006,5.353,2.775,0.006
5.454,1.973,0.008,5.454,2.131,0.008,5.455,2.682,0.006,5.455,2.757,0.006,5.455,2.779,0.006
5.555,1.977,0.008,5.554,2.134,0.008,5.555,2.692,0.007,5.555,2.762,0.006,5.555,2.784,0.006
5.656,1.979,0.009,5.657,2.139,0.008,5.657,2.702,0.007,5.656,2.766,0.007,5.657,2.788,0.007
5.757,1.983,0.009,5.757,2.141,0.008,5.757,2.711,0.007,5.757,2.772,0.007,5.757,2.792,0.007
5.858,1.985,0.009,5.859,2.143,0.009,5.858,2.720,0.007,5.858,2.776,0.007,5.858,2.795,0.007
5.959,1.989,0.009,5.959,2.145,0.009,5.959,2.730,0.008,5.959,2.782,0.007,5.959,2.801,0.007
6.061,1.992,0.009,6.061,2.148,0.009,6.061,2.739,0.008,6.061,2.787,0.008,6.061,2.805,0.008
6.161,1.994,0.010,6.161,2.150,0.009,6.161,2.747,0.008,6.161,2.791,0.008,6.161,2.809,0.008
6.261,1.996,0.010,6.261,2.153,0.010,6.261,2.756,0.008,6.261,2.796,0.008,6.261,2.813,0.008
6.363,2.000,0.010,6.363,2.154,0.010,6.363,2.765,0.008,6.363,2.800,0.008,6.363,2.817,0.008
6.463,2.002,0.010,6.463,2.156,0.010,6.463,2.773,0.009,6.463,2.805,0.009,6.463,2.821,0.008
6.565,2.005,0.011,6.565,2.159,0.010,6.565,2.782,0.009,6.565,2.809,0.009,6.565,2.824,0.009
6.665,2.008,0.011,6.665,2.161,0.010,6.665,2.790,0.009,6.665,2.814,0.009,6.665,2.828,0.009
6.767,2.010,0.011,6.767,2.162,0.011,6.767,2.798,0.009,6.767,2.818,0.009,6.767,2.833,0.009
6.867,2.013,0.011,6.867,2.164,0.011,6.867,2.806,0.009,6.867,2.823,0.009,6.867,2.836,0.009
6.968,2.014,0.012,6.968,2.167,0.011,6.968,2.814,0.010,6.968,2.827,0.010,6.968,2.840,0.010
7.069,2.017,0.012,7.069,2.169,0.011,7.069,2.822,0.010,7.069,2.831,0.010,7.069,2.843,0.010
7.170,2.020,0.012,7.170,2.169,0.012,7.170,2.829,0.010,7.170,2.835,0.010,7.170,2.848,0.010
7.271,2.018,0.012,7.271,2.171,0.012,7.271,2.836,0.010,7.271,2.840,0.010,7.271,2.850,0.010
7.372,2.064,0.012,7.372,2.176,0.012,7.372,2.844,0.011,7.372,2.844,0.011,7.372,2.855,0.011
7.472,2.051,0.013,7.472,2.164,0.012,7.472,2.850,0.011,7.472,2.848,0.011,7.472,2.858,0.011
7.574,2.040,0.013,7.574,2.153,0.013,7.574,2.858,0.011,7.574,2.852,0.011,7.574,2.862,0.011
7.675,2.084,0.013,7.675,2.141,0.013,7.675,2.866,0.011,7.675,2.857,0.011,7.674,2.865,0.011
7.776,2.073,0.013,7.776,2.185,0.013,7.777,2.872,0.011,7.776,2.860,0.011,7.776,2.869,0.011
7.876,2.060,0.014,7.877,2.174,0.013,7.877,2.879,0.012,7.876,2.864,0.012,7.876,2.872,0.012
7.979,2.050,0.014,7.978,2.162,0.014,7.979,2.886,0.012,7.978,2.868,0.012,7.978,2.876,0.012
8.078,2.036,0.014,8.078,2.205,0.014,8.079,2.883,0.012,8.079,2.883,0.012,8.079,2.883,0.012
8.181,2.082,0.014,8.180,2.251,0.014,8.181,2.872,0.012,8.181,2.872,0.012,8.180,2.871,0.012
8.281,2.070,0.014,8.281,2.182,0.014,8.281,2.916,0.012,8.281,2.860,0.013,8.281,2.916,0.012
8.383,2.059,0.015,8.383,2.228,0.014,8.383,2.905,0.013,8.383,2.905,0.013,8.383,2.905,0.013
8.483,2.046,0.015,8.483,2.159,0.015,8.483,2.892,0.013,8.483,2.892,0.013,8.483,2.948,0.013
8.585,2.091,0.015,8.585,2.204,0.015,8.585,2.938,0.013,8.585,2.938,0.013,8.585,2.938,0.013
8.685,2.079,0.015,8.685,2.191,0.015,8.685,2.925,0.013,8.685,2.925,0.013,8.685,2.868,0.014
8.787,2.068,0.016,8.787,2.181,0.015,8.787,2.914,0.014,8.787,2.914,0.014,8.787,2.914,0.014
8.887,2.055,0.016,8.887,2.168,0.016,8.887,2.958,0.014,8.887,2.958,0.014,8.887,2.901,0.014
8.989,2.100,0.016,8.989,2.157,0.016,8.989,2.947,0.014,8.989,2.947,0.014,8.989,2.890,0.014
9.089,2.087,0.016,9.089,2.201,0.016,9.089,2.934,0.014,9.089,2.934,0.014,9.089,2.934,0.014
9.191,2.077,0.017,9.191,2.189,0.016,9.191,2.923,0.015,9.191,2.923,0.015,9.191,2.923,0.015
9.291,2.064,0.017,9.291,2.177,0.017,9.291,2.967,0.015,9.291,2.967,0.015,9.291,2.910,0.015
9.392,2.053,0.017,9.392,2.166,0.017,9.392,2.955,0.015,9.392,2.955,0.015,9.392,2.955,0.015
9.493,2.097,0.017,9.493,2.209,0.017,9.493,2.999,0.015,9.493,2.943,0.015,9.493,2.943,0.015
9.594,2.086,0.017,9.594,2.198,0.017,9.594,2.988,0.015,9.594,2.988,0.015,9.594,2.932,0.015
9.695,2.129,0.018,9.695,2.186,0.017,9.695,2.975,0.016,9.695,2.975,0.016,9.695,2.920,0.016
9.796,2.118,0.018,9.796,2.175,0.018,9.797,2.965,0.016,9.796,2.964,0.016,9.796,2.908,0.016
9.897,2.163,0.018,9.896,2.218,0.018,9.897,2.953,0.016,9.897,3.009,0.016,9.897,2.953,0.016
9.998,2.151,0.018,9.999,2.208,0.018,9.999,2.998,0.016,9.999,2.998,0.016,9.999,2.942,0.016
