# V_PS_R,V_LED_R,I_R,V_PS_Y,V_LED_Y,I_Y,V_PS_G,V_LED_G,I_G,V_PS_B,V_LED_B,I_B,V_PS_W,V_LED_W,I_W
0.002,-0.003,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000,0.002,-0.004,0.000
0.103,0.098,0.000,0.103,0.098,0.000,0.103,0.098,0.000,0.103,0.097,0.000,0.103,0.098,0.000
0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.198,0.000,0.204,0.197,0.000
0.305,0.300,0.000,0.305,0.300,0.000,0.305,0.300,0.000,0.305,0.300,0.000,0.305,0.300,0.000
0.406,0.400,0.000,0.406,0.399,0.000,0.406,0.400,-0.000,0.406,0.399,0.000,0.406,0.400,0.000
0.507,0.502,0.000,0.507,0.502,0.000,0.507,0.502,0.000,0.507,0.502,0.000,0.507,0.502,0.000
0.607,0.602,0.000,0.607,0.602,0.000,0.607,0.602,0.000,0.607,0.602,0.000,0.608,0.603,0.000
0.709,0.703,0.000,0.709,0.704,0.000,0.709,0.704,0.000,0.709,0.704,0.000,0.709,0.703,0.000
0.809,0.804,0.000,0.809,0.804,0.000,0.809,0.804,0.000,0.809,0.804,0.000,0.809,0.804,0.000
0.911,0.905,0.000,0.911,0.906,0.000,0.911,0.905,0.000,0.911,0.905,0.000,0.911,0.905,0.000
1.011,1.006,0.000,1.011,1.006,0.000,1.011,1.006,0.000,1.011,1.006,0.000,1.011,1.006,0.000
1.113,1.107,0.000,1.113,1.107,0.000,1.113,1.108,0.000,1.113,1.107,0.000,1.113,1.107,0.000
1.213,1.207,0.000,1.213,1.207,0.000,1.213,1.208,0.000,1.213,1.207,0.000,1.213,1.207,0.000
1.315,1.310,0.000,1.315,1.309,0.000,1.315,1.310,0.000,1.315,1.309,0.000,1.315,1.309,0.000
1.415,1.409,0.000,1.415,1.410,0.000,1.415,1.409,0.000,1.415,1.410,0.000,1.415,1.409,0.000
1.516,1.511,0.000,1.517,1.512,0.000,1.517,1.512,0.000,1.517,1.512,0.000,1.517,1.512,0.000
1.613,1.608,0.000,1.616,1.612,0.000,1.617,1.612,0.000,1.617,1.612,0.000,1.617,1.612,0.000
1.696,1.690,0.000,1.714,1.708,0.000,1.719,1.714,0.000,1.719,1.713,0.000,1.719,1.713,0.000
1.745,1.739,0.000,1.794,1.788,0.000,1.819,1.814,0.000,1.819,1.814,0.000,1.819,1.814,0.000
1.774,1.768,0.000,1.849,1.843,0.000,1.921,1.916,0.000,1.921,1.916,0.000,1.921,1.916,0.000
